	备注	弹幕填充ing
0	干过半年规划 半年多的景观 这地方的收入低的离谱 消费高的离谱 网上打野都比上班挣得多！	
1	公司合伙人	请问是什么公司，求加入；这收入真牛逼
2	Pua	
3	项目多，啥都做，累死	a
4	啥都做、测量、绘图、深化、效果图、预算、成本、结算、招投标、施工、采购、资料、财务、公众号运营、公司电脑维修、老板司机、老板秘书	真他妈卷，一个人撑起一个公司，除了你都是领导
5	但是公司现在也很艰难，也直接说降薪，也就是降年终了	 可以啦，比大多数人都多
6	基本天天加班，不加班就认为你工作不饱和，考虑转行。	         
7	比较少加班	请问是哪个设计院?给点提示（我也想了解下）
8		
9		
10	国央企，公司手里基本快没项目了 都在做后期	福州是房收比最离谱的城市，但是建筑行业也没挣多少
11	厦门没人做规划了是吧？	
12	因为项目不多，所以不经常加班	
13		
14	有时候还是特别忙，连续30多天无休，基本没有双休	SC？
15	刚考过一注，有点迷茫	
16		
17	没项目，中等私企，打算年后转行	厉害
18	大环境不好。去年加分红都24，今年直接骨折！垃圾市场，垃圾人。挪用我们设计款，白嫖怪！	
19	经常加班，准备转行	敢问是哪一家？？
20	方案，施工图都做，以工业建筑为主，也作些产业园或者学校，办公，部门没怎么加班，部门管的比较松，不卷	国企吗，挺不错的
21	基本不加班,没项目时负责前期开会对接，项目紧张的时候要加班，平时也要画图干活。国企分公司，注册过了才转正。今年行情不好，不知道年终还有多少ORZ	厦门哪个设计院啊。还有年终，牛逼
22	项目时间紧的时候加班多也不会加太迟，闲的时候可以准时下班，比较自由，没有严格要求打卡，项目类型：学校 酒店 住宅 商业综合体	厦门哪个设计院啊   
23	加班少，不打卡，工作自由，氛围好，挺人性化。就是项目不多，大多人经常在摸鱼中度过，学不到啥东西	可以知道缩写吗
24	加班多，非常多，提成很低	和我差不多，坐标西安
25	公司是萎了，没项目了。	
26	加班多，甲方配合更累	sc？上城？
27	项目少，但交图前被甲方狂PUA	刚入坑，你还来得及跑路
28		
29	项目少，杂，难得的施工图做完合同说没签那就没钱了，一年白干呗	
30	国央企，加班相对较少，福利还行，主要公建	兄得，方便透露下哪家嘛
31	一年除了现在在这写文档，基本你都加班。端阳 中秋 元旦都加班	"兄弟泉州哪有景观行业啊？boss翻遍了  有吧

你工作五年  怎么会是这个年薪   额，是低了  感觉泉州就没有能干的下去的设计院"
32	难搞，白天跑现场汇报听意见，晚上画图，领导喜欢休息日听汇报，加班家常便饭，婚前无所谓，婚后无生活。。。	
33	福建属于辽宁了？	一注的待遇，天杀啊
34	不加班，双休，各种补贴。公司发展挺好的，今年项目不降返增。又新开双碳专业，还缺蛮多绿建相关专业的人。（有意可以表格接龙呀）	绿建咨询吗？
35		哪家啊？
36	一级注册建筑师	国企还是私企呀，大佬
37	近半年没什么活了。2022年没有一个月准时发过工资，今年把欠的补齐就不错了。	
38	加班多，非常多，加班过程注册知识都学会了，收入全靠加班费，但是很低很低，为爱发电	
39	2022年一年期间各种降薪裁员，没啥项目做就各种找人谈话，年底开始要求签各种不平等条例（要把我们的劳动关系转走，绝口不谈待遇及司龄）	"别整活了
"
40	双休 加班还行 	
41	单休！！！！活多人少！！！	"
"
42	单休，好用往死里用	
43	说加班就加班，年底了还要投标，月发4000多，真的顶不住。目前上班摸鱼炒股8个月，盈利50w左右。	牛的，牛牛牛
44		
45	轻松是轻松，纯属混日子	
46	经常加班，准备转行	
47	没有强制加班，只要能按时干完活，上下班虽然没有强制打卡，只要不是迟到太离谱也还好，老板老大也都是比较好说话的，挺人性的	还缺人吗大兄弟
48	双休，过年放假多，基本不加班，项目急要加，但是单位小，项目可见减少，较担心失业	
49		
50	56416	牛批，各大城市看下来，省会里就郑州的年薪基本在6上下浮动
51	降薪后就跑路了，以后也不干设计了，基本算是每天加班吧，每周都有工时要求	是不是没事也要填，不填就扣钱
52	过完年提桶跑路	
53	半个管理层，回款困难，年终奖只是的欠条而已。。。	看了这么多，感觉没有回郑州的必要了
54	刚从上海回来，在上海是月薪1.3睡前，来郑州谈的年薪10睡前，月发75%剩下年终一次补齐，不知道能是坑不（最新消息，去年的年终部分只发了五个月，理由是公司没钱了，以后补发）	什么证10w一年？ 被忽悠了一套操作下来到手还是6W 证书待考证回复一下：年薪栏被人拉串了，是税前10W
55	大型央企设计院，主要做工业项目，受市场影响小一点。基层员工还是比较辛苦的，领导们摸摸鱼就把大头的钱都拿走了。公司在西四环很远，不过有交通补贴还好，打算在干几年就润了	一猜就知道是电子院    西四环不应该是中机六院吗  这妥妥的六院！
56	注册证还有用吗    基本没用了	
57	完蛋公司，天天画饼、冰箱都装不下了、啥玩意活都干、啥挣钱干啥、只要给钱（因为突然给发了一些窝囊费，就不再骂它了。）	
58	准备转行，活不下去了，上有老下有小，已经坐吃山空！	看不到光了；没有光了——哭
59	无编制人员和有编制的待遇差别很大。想转行但感觉啥都不会！	看到公积金数字，判定是同事无疑了。出差多，报销3-4个月下来，待遇和他们正式工差别不是一般的大，太傻逼了
60	注册不值钱了，补贴毛毛雨	
61	这个这么高，羡慕呀，你这让同行都无地自容了	楼上的过来找他要个联系方式吧（表示注册给排水的人证合一，半年挣了 3万不到，公司坑逼到家了）
62	包含注册补贴	同样的注册师，为啥我这么惨
63		
64	垃圾公司，都是领导，干活的贼少	逃离郑州！！
65	央企施工单位旗下设计院，加班不多，工资贼低，各种福利靠画大饼，没见过	七局吗？到手3W你还能活？真假
66	一个月加班将近200小时。各种画饼。领导已经换车换房。基本工资3000不定时发放，绩效工资已拖欠几个月。	离职困难
67	郑州最大设计院，月发一千多，已离职，领导赚的盆满钵满	S建筑   规划院？月发一千多那肯定S建筑
68	一直自称郑州乃至河南最大的民营设计院，加班不少，工资不高	一眼徐辉
69	除了哭穷和画饼，一无是处	
70	 	7年可以跳一家了。把老板炒了。
71	普普通通小公司 没啥意思	                 
72	馒头公司	
73	整天就会吹牛逼的号称河南最大的私企  整天想着办法的克扣员工工资  	
74	月发2~3K	市院？
75	河南最大民营设计院，加班程度在郑州至少前三吧	
76	经常开会强调年轻人不要太在乎钱，要加班学习，要奉献。抱怨是成长的天敌，攀比是进步的阻碍。	大师还开讲座吗？早上还写小作文吗？
